"STATION","NAME","DATE","DSND","DX32","DX70","DX90","PRCP","TAVG","TMAX","TMIN"
"SZ000002220","SAENTIS, SZ","2015","      254","       125","         0","         0","2389.8","0.2","2.8","-2.3"
"DA000025140","NORDBY FANO, DA","2015",,,,,"1007.7",,,
"DAE00100980","TRANEBJERG OST 1, DA","2015",,"         4","        28","         0","744.4","9.3","12.1","6.6"
"SZE00116090","PAYERNE, SZ","2015","        8","         8","        97","        13","643.3","10.4","15.4","5.5"
"DA000030370","KOEBENHAVN BOTANISK HAVE, DA","2015",,,,,"738.4",,,
"SZE00105086","SION 2, SZ","2015","       19","         1","       135","        27","500.1","11.9","17.7","6.1"
"DAE00100416","STORE JYNDEVAD, DA","2015",,,,,"1068.2",,,
"SZ000003700","ZUERICH FLUNTERN, SZ","2015","       34","         9","        90","        13","918.0","10.9","15.0","6.8"
"SZ000001940","BASEL BINNINGEN, SZ","2015","        0","         1","       102","        15","567.2","11.8","16.6","7.1"
"IC000004013","STYKKISHOLMUR, IC","2015",,"        38","         0","         0","804.4","4.2","6.6","1.9"
"IC000004030","REYKJAVIK, IC","2015",,"        31","         0","         0","1025.1","4.8","7.6","1.9"
"SZ000009480","LUGANO, SZ","2015","        2","         0","       134","        11","1232.4","14.0","18.0","10.1"
"IC000004097","DALATANGI, IC","2015",,"        19","         0","         0","2112.2","4.5","6.6","2.3"
"DA000030380","KOEBENHAVN LANDBOHOJSKOLEN 1, DA","2015",,,,,,,,"6.9"
"SZ000008440","GENEVE COINTRIN, SZ","2015","        8","         4","       116","        21","685.5","11.6","16.5","6.7"
"DA000021100","VESTERVIG, DA","2015",,,,,"1042.9",,,"6.5"
"DA000021430","GRONBAEK ALLINGSKOVGARD, DA","2015",,,,,"869.3",,,
