Country,Rank_15,Score_15,Rank_16,Score_16,Rank_17,Score_17,Rank_18,Score_18,Rank_19,Score_19,Capital
Afghanistan,153,3.575,154,3.36,141,3.7939999103546103,145,3.6319999999999997,154,3.2030000000000003,Kabul
Albania,95,4.959,109,4.655,109,4.64400005340576,112,4.586,107,4.718999999999999,Tirana
Algeria,68,5.605,38,6.355,53,5.872000217437741,84,5.295,88,5.211,Algiers
Argentina,30,6.574,26,6.65,24,6.59899997711182,29,6.388,47,6.086,Buenos Aires
Armenia,127,4.35,121,4.36,121,4.37599992752075,129,4.321000000000001,116,4.559,Yerevan
Australia,10,7.284,9,7.313,10,7.28399991989136,10,7.272,11,7.228,Canberra
Austria,13,7.2,12,7.119,13,7.00600004196167,12,7.138999999999999,10,7.246,Vienna
Azerbaijan,80,5.212000000000001,81,5.291,85,5.234000205993651,87,5.2010000000000005,90,5.207999999999999,Baku
Bahrain,49,5.96,42,6.218,41,6.08699989318848,43,6.105,37,6.199,Manama
Bangladesh,109,4.694,110,4.643,110,4.60799980163574,115,4.5,125,4.456,Dhaka
Belarus,59,5.813,61,5.8020000000000005,67,5.5689997673034695,73,5.483,81,5.3229999999999995,Minsk
Belgium,19,6.937,18,6.928999999999999,17,6.89099979400635,16,6.9270000000000005,18,6.922999999999999,Brussels
Benin,155,3.34,153,3.484,143,3.65700006484985,136,4.141,102,4.883,Porto-Novo
Bhutan,79,5.252999999999999,84,5.196000000000001,97,5.01100015640259,97,5.082,95,5.082,Thimphu
Bolivia,51,5.89,59,5.822,58,5.82299995422363,62,5.752000000000001,61,5.779,Sucre
Bosnia and Herzegovina,96,4.949,87,5.162999999999999,90,5.18200016021729,93,5.129,78,5.386,Sarajevo
Botswana,128,4.332,137,3.9739999999999998,142,3.7660000324249303,146,3.59,148,3.488,Gaborone
Brazil,16,6.983,17,6.952000000000001,22,6.6350002288818395,28,6.419,32,6.3,Brasília
Bulgaria,134,4.218,129,4.217,105,4.71400022506714,100,4.933,97,5.011,Sofia
Burkina Faso,152,3.5869999999999997,145,3.739,134,4.03200006484985,121,4.4239999999999995,115,4.587,Ouagadougou
Burundi,157,2.905,157,2.905,154,2.90499997138977,156,2.905,145,3.775,Bujumbura
Cambodia,145,3.819,140,3.907,129,4.1680002212524405,120,4.433,109,4.7,Phnom Penh
Cameroon,133,4.252,114,4.513,107,4.69500017166138,99,4.975,96,5.044,Yaoundé
Canada,5,7.4270000000000005,6,7.404,7,7.31599998474121,7,7.327999999999999,9,7.278,Ottawa
Chad,149,3.667,144,3.763,137,3.9360001087188703,131,4.301,132,4.35,N'Djamena
Chile,27,6.67,24,6.705,20,6.65199995040894,25,6.476,26,6.444,Santiago
China,84,5.14,83,5.245,79,5.2729997634887695,86,5.246,93,5.191,Beijing
Colombia,33,6.477,31,6.481,36,6.35699987411499,37,6.26,43,6.125,Bogotá
Congo (Brazzaville),139,3.989,127,4.236000000000001,124,4.29099988937378,114,4.559,103,4.812,N.A.
Congo (Kinshasa),120,4.5169999999999995,125,4.272,126,4.2800002098083505,132,4.245,127,4.418,N.A.
Costa Rica,12,7.226,14,7.087000000000001,12,7.0789999961853,13,7.072,12,7.167000000000001,San José
